Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Dip_Shares,Dip_HYSA_Balance,Dip_Equity,Dip_Total_Value,Dip_Total_Invested,HYSA_Rate_Annual,Dist_From_ATH_Pct,StdDev_100d
2001-09-10,1370.5,False,False,3.652411949669767,5005.630577022416,6400.0,3.366715993059942,400.07260572600455,4614.08426848865,5014.156874214655,6400.0,3.3449999999999998,,158.45599221659737
2001-09-17,1252.0,False,False,3.812156358615454,4772.819760986548,6600.0,3.366715993059942,600.1339742033138,4215.128423311047,4815.2623975143615,6600.0,2.335,,167.62170189052412
2001-09-24,1194.0,False,False,3.979660546220144,4751.7146921868525,6800.0,3.366715993059942,800.3158808682326,4019.8588957135707,4820.174776581804,6800.0,2.8200000000000003,,205.73483227085833
2001-10-01,1159.5,False,False,4.152148687660421,4814.416403342258,7000.0,3.366715993059942,1000.6037414272861,3903.707193953003,4904.310935380289,7000.0,2.67,,228.82398951872213
2001-10-08,1286.0,False,False,4.30766968299479,5539.6632123313,7200.0,3.366715993059942,1200.9126625148108,4329.596767075085,5530.509429589896,7200.0,2.285,,239.5732703340196
2001-10-15,1389.0,False,False,4.451658163916316,6183.353189679763,7400.0,3.366715993059942,1401.2908254568968,4676.36851436026,6077.659339817156,7400.0,2.36,,239.7755376892233
2001-10-22,1389.5,False,False,4.595594831782455,6385.57901876172,7600.0,3.366715993059942,1601.7332129361503,4678.051872356789,6279.78508529294,7600.0,2.35,,225.9173536519787
2001-10-29,1371.0,False,False,4.741473752278443,6500.560514373746,7800.0,3.366715993059942,1802.2354481439747,4615.767626485181,6418.003074629156,7800.0,2.3,,219.88314306038808
2001-11-05,1479.0,False,False,4.876700256673304,7212.639679619817,8000.0,3.366715993059942,2002.789201920467,4979.372953735654,6982.16215565612,8000.0,2.21,,205.48706073619627
2001-11-12,1529.5,False,False,5.007461943499065,7658.913042581819,8200.0,3.366715993059942,2203.309959432995,5149.392111385181,7352.702070818176,8200.0,1.8900000000000001,,198.8177053289447
2001-11-19,1628.0,False,False,5.1303120663491875,8352.148044016478,8400.0,3.366715993059942,2403.902103408631,5481.013636701586,7884.915740110217,8400.0,1.9549999999999998,,192.91810537469695
2001-11-26,1618.0,False,False,5.253921460663156,8500.844923352986,8600.0,3.366715993059942,2604.4076909258238,5447.346476770986,8051.754167696809,8600.0,1.99,,184.02600986294985
2001-12-03,1567.0,False,False,5.381553879297488,8432.894928859165,8800.0,3.366715993059942,2805.0876811953967,5275.643961124929,8080.731642320326,8800.0,1.9,,174.20612616497394
