Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Put_Shares,Put_Cash,Put_Equity,Put_Total_Value,Put_Total_Invested,Total_Put_Premium,Total_Call_Premium,Total_Premium,Put_Assignments,Call_Assignments,Active_Put_Strike,Active_Call_Strike,Realized_Vol,HYSA_Rate_Annual,StdDev_100d
2001-08-27,1584.0,True,False,3.3662765133381622,5332.181997127649,6000.0,3.373333309340371,473.19548446415024,5343.359961995147,5816.555446459298,6000.0,72.89855128110106,128.03271210978983,200.93126339089088,2,0,1516.4280888228964,1740.1600806341364,0.5118931743093457,3.455,135.14382235420723
2001-09-04,1426.5,False,False,3.5064798081155897,5001.993446276889,6200.0,3.670406154016805,238.95856918520715,5235.834378704973,5474.79294789018,6200.0,72.9005293720432,144.06332383786284,216.96385320990603,3,0,1145.1216616638733,1557.806810821147,0.4799107205003574,3.5149999999999997,140.68916916806333
2001-09-10,1370.5,False,False,3.652411949669767,5005.630577022416,6400.0,3.670406154016805,453.2317392045509,5030.291634080031,5483.523373284582,6400.0,72.90058086600443,158.24969356124186,231.1502744272463,3,0,1053.5880155668053,1485.8174298164463,0.44108769482382865,3.3449999999999998,158.45599221659737
2001-09-17,1252.0,False,False,3.812156358615454,4772.819760986548,6600.0,3.670406154016805,666.2724568261011,4595.3485048290395,5261.6209616551405,6600.0,72.90058228052669,171.22088703338332,244.12146931391,3,0,916.7565962189517,1357.1844481716823,0.44148717721541275,2.335,167.62170189052412
2001-09-24,1194.0,False,False,3.979660546220144,4751.7146921868525,6800.0,3.670406154016805,879.3549915046142,4382.4649478960655,5261.81993940068,6800.0,72.90058228068253,184.1014678051826,257.0020500858651,3,0,782.5303354582834,1298.944278207768,0.4601834847386474,2.8200000000000003,205.73483227085833
2001-10-01,1159.5,False,False,4.152148687660421,4814.416403342258,7000.0,3.670406154016805,1091.8821535206123,4255.835935582485,5347.718089103098,7000.0,72.90058228068253,196.3123401841607,269.21292246484325,3,0,701.8520209625558,1258.7409115419887,0.44895326848589734,2.67,228.82398951872213
2001-10-08,1286.0,False,False,4.30766968299479,5539.6632123313,7200.0,0.0,5922.9945140307445,0.0,5922.9945140307445,7200.0,83.58545285444593,196.3123401841607,279.8977930386066,3,1,1166.2133648329902,,0.4615168654572895,2.285,239.5732703340196
2001-10-15,1389.0,False,False,4.451658163916316,6183.353189679763,7400.0,0.0,6140.831969544334,0.0,6140.831969544334,7400.0,99.55777936965139,196.3123401841607,295.87011955381206,3,1,1269.1122311553884,,0.47354759229278287,2.36,239.7755376892233
2001-10-22,1389.5,False,False,4.595594831782455,6385.57901876172,7600.0,0.0,6362.927139336799,0.0,6362.927139336799,7600.0,119.71428865983142,196.3123401841607,316.0266288439921,3,1,1276.5413231740106,,0.47610057549506907,2.35,225.9173536519787
2001-10-29,1371.0,False,False,4.741473752278443,6500.560514373746,7800.0,0.0,6586.632921436,0.0,6586.632921436,7800.0,141.42492824192274,196.3123401841607,337.73726842608346,3,1,1261.058428469806,,0.47631308471174705,2.3,219.88314306038808
